Amazon 出品サービス、フルフィルメント by Amazon (FBA),,,,,,,,,,,,,,,,,,,,,,,,,,,
指定のない場合、単位は円,,,,,,,,,,,,,,,,,,,,,,,,,,,
定義：,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税,,,,,,,,,,,,,,,,,,,,,,,,,,,
販売手数料：カテゴリー成約料と販売手数料が含まれます。,,,,,,,,,,,,,,,,,,,,,,,,,,,
トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間,決済番号,トランザクションの種類,注文番号,SKU,説明,数量,Amazon 出品サービス,フルフィルメント,市町村,都道府県,郵便番号,税金徴収型,商品売上,商品の売上税,配送料,配送料の税金,ギフト包装手数料,ギフト包装クレジットの税金,Amazonポイントの費用,プロモーション割引額,プロモーション割引の税金,源泉徴収税を伴うマーケットプレイス,手数料,FBA 手数料,トランザクションに関するその他の手数料,その他,合計
2025/01/02 1:34:35 JST,11911147113,注文,249-9364279-1630236,EP-B1UP-2O05,リュック バックパック（X-PAC） 30L 軽量 メンズ レディース ハイキング トレッキング ブラック 黒 旅行 トラベ�,1,amazon.jp,Amazon,,福岡県,807-082,,"11,491","1,149",0,0,0,0,-126,0,0,0,"-1,321",-975,0,0,"10,218"
2025/01/02 2:53:53 JST,11911147113,注文外料金,,,広告費用,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-37,090","-3,709","-40,799"
2025/01/02 4:23:58 JST,11911147113,注文,249-3131330-0762224,POC002-BK,ポーチ 軽量 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブラック 黒 旅行 トラベル PEA,1,amazon.jp,Amazon,,兵庫県,671-134,,"2,264",226,0,0,0,0,-25,0,0,0,-326,-455,0,0,"1,684"
2025/01/02 4:53:11 JST,11911147113,注文,249-6914322-7156632,SHB004,ショルダーバッグ 撥水 防水 超軽量 メンズ 斜めがけ トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,,山形県,999-610,,"3,200",320,418,42,0,0,-35,-418,-42,0,-460,-514,0,0,"2,511"
2025/01/02 7:17:40 JST,11911147113,注文,250-7030710-8927828,WPO001-BK,ウエストポーチ 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,,大阪府,558-000,,"2,182",218,0,0,0,0,-24,0,0,0,-314,-455,0,0,"1,607"
2025/01/02 16:51:31 JST,11911147113,注文,503-4138640-8763851,EP-B1UP-2O05,リュック バックパック（X-PAC） 30L 軽量 メンズ レディース ハイキング トレッキング ブラック 黒 旅行 トラベ�,1,amazon.jp,Amazon,,東京都,131-003,,"14,364","1,436",0,0,0,0,-158,0,0,0,"-1,528",-975,0,0,"13,139"
2025/01/02 23:49:12 JST,11911147113,返金,503-4138640-8763851,EP-B1UP-2O05,リュック バックパック（X-PAC） 30L 軽量 メンズ レディース ハイキング トレッキング ブラック 黒 旅行 トラベ�,1,amazon.jp,Amazon,,東京都,131-003,,"-14,364","-1,436",0,0,0,0,158,0,0,0,"1,375",0,0,0,"-14,267"
2025/01/03 8:49:45 JST,11911147113,注文,249-9633565-1920658,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,神奈川県,231-006,,"3,000",300,0,0,0,0,-33,0,0,0,-431,-318,0,0,"2,518"
2025/01/03 14:04:50 JST,11911147113,返金,249-0656974-1982246,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,東京都,123-084,,"-3,000",-300,0,0,0,0,33,0,0,0,388,0,0,0,"-2,879"
2025/01/03 18:59:39 JST,11911147113,注文,503-4900812-5880643,DAB008-BK,バックパック（サイドポケット付） 20L 超軽量（UL） 撥水 防水 メンズ レディース ハイキング トレッキング ブ�,1,amazon.jp,Amazon,,神奈川県,240-000,,"5,445",545,0,0,0,0,-60,0,0,0,-783,-465,0,0,"4,682"
2025/01/03 21:31:18 JST,11911147113,注文,503-6711509-3513406,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,神奈川県,211-000,,"2,400",240,0,0,0,0,-26,0,0,0,-345,-318,0,0,"1,951"
2025/01/03 23:57:48 JST,11911147113,注文,250-7860809-6871039,SCB007-BK,サコッシュ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント (約 横2,1,amazon.jp,Amazon,,大阪府,584-003,,"3,000",300,59,6,0,0,-33,-59,-6,0,-431,-318,0,0,"2,518"
2025/01/04 1:04:57 JST,11911147113,注文,249-0287477-9794279,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,兵庫県,664-087,,"3,355",335,0,0,0,0,-37,0,0,0,-482,-485,0,0,"2,686"
2025/01/04 2:45:07 JST,11911147113,注文,250-5482223-1315817,KP-DC3K-U34W,PEAKHUNT 防水サコッシュ 超軽量 撥水 登山 旅行 トラベル ハイキング メンズ レディース,1,amazon.jp,Amazon,,千葉県,263-004,,"3,000",300,0,0,0,0,-33,0,0,0,-431,-318,0,0,"2,518"
2025/01/04 3:17:19 JST,11911147113,注文,250-5395885-1264631,SCB004-BK,【改訂版】サコッシュ 小さめ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピ,1,amazon.jp,Amazon,,神奈川県,225-001,,"2,545",255,0,0,0,0,-28,0,0,0,-366,-318,0,0,"2,088"
2025/01/04 3:22:26 JST,11911147113,注文,250-4596529-6796651,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,東京都,177-003,,"3,355",335,418,42,0,0,-37,-418,-42,0,-482,-485,0,0,"2,686"
2025/01/04 4:06:07 JST,11911147113,注文,249-0656974-1982246,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,東京都,123-084,,"3,000",300,0,0,0,0,-33,0,0,0,-431,-318,0,0,"2,518"
2025/01/04 7:08:12 JST,11911147113,注文,503-2268561-9835058,SHB004,ショルダーバッグ 撥水 防水 超軽量 メンズ 斜めがけ トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント）,1,amazon.jp,Amazon,,神奈川県,215-002,,"3,991",399,0,0,0,0,-44,0,0,0,-574,-514,0,0,"3,258"
2025/01/04 17:09:57 JST,11911147113,注文,250-6246198-0375806,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,京都府,617-082,,"2,691",269,0,0,0,0,-30,0,0,0,-387,-485,0,0,"2,058"
2025/01/04 17:23:04 JST,11911147113,注文,503-5639661-0339012,BOX002,ボディバッグ XPAC 撥水 防水 超軽量 メンズ レディース トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハント,1,amazon.jp,Amazon,,東京都,151-005,,"5,445",545,0,0,0,0,-60,0,0,0,-783,-514,0,0,"4,633"
2025/01/04 22:20:03 JST,11911147113,注文,250-4527788-0986228,22-GH0Y-3R3L,バックパック20L 軽量 超軽量（UL） 撥水 生活防水 メンズ レディース ハイキング トレッキング ブラック 黒 折�,1,amazon.jp,Amazon,,埼玉県,350-110,,"5,445",545,0,0,0,0,-60,0,0,0,-783,-485,0,0,"4,662"
